FECHA,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
2021-01-01,3106849,114331,90113,23207,2,145903,124969,15348,324651,64457,5260,1384,153403,6536,4176413,33852,2159,445937
2021-02-01,2700520,108083,73636,17906,1,139423,126467,15445,317976,63135,4920,1268,147210,6153,3722143,32216,2257,373438
2021-03-01,3383170,128415,87595,22939,4,163936,147665,17815,355733,70873,6391,1422,165200,7150,4558308,38920,2673,526946
2021-04-01,3435982,119698,90836,25118,1,153536,137115,16733,331481,64921,5142,1384,156194,6651,4544792,30496,2577,503917
2021-05-01,3478445,128515,95203,26945,0,152075,125165,16680,319949,65019,5540,1444,155345,7760,4578085,29786,902,521800
2021-06-01,3210883,121513,91470,25714,0,148028,121642,16488,309572,65771,5331,1376,145288,7445,4270521,26129,1488,455998
2021-07-01,3426382,136944,97498,29769,6,150888,127611,17154,317389,67155,5406,1425,148970,8091,4534688,28723,1345,421796
2021-08-01,3281400,132956,90705,27641,30,147299,121955,16960,314418,66102,5310,1500,147178,7998,4361452,27513,1672,449665
2021-09-01,3103514,133953,86467,25617,38,143271,117363,16874,303703,64102,5368,1320,145647,7980,4155217,26264,1966,456107
2021-10-01,3394654,139449,91436,27546,114,148272,120888,17904,325597,65939,5268,1290,153454,8468,4500279,28309,1405,479278
2021-11-01,3531920,141036,96934,29563,142,151726,122292,18510,329316,65795,5776,1446,149519,8450,4652425,29957,1678,622613
2021-12-01,4208021,157619,117628,37157,238,161955,131661,19429,335238,66390,5739,1523,155961,40520,5439079,11914,483,725667
2022-01-01,3565254,132688,107146,30805,236,137738,116816,17958,317389,63939,5810,1356,152841,7087,4657063,37827,2539,566479
2022-02-01,3191087,127354,88190,23776,202,132318,113974,17656,308423,61560,5583,1381,143897,5678,4221079,33526,2493,556725
2022-03-01,3639993,150223,102471,27252,237,156214,129865,20015,350462,68822,6388,1500,154919,7759,4816120,38809,2316,670343
2022-04-01,3906127,151374,108945,31709,198,145267,121862,17716,323988,61937,5729,1353,147595,7282,5031082,37276,2730,647952
